rn,D12,R12,D16,R16
0,0.0,0.0,0.0,0.0
1,650.0,736.0,706.0,618.0
2,794.0,336.0,788.0,325.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,594.0,344.0,552.0,322.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,987.0,570.0,996.0,528.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,2009.0,275.0,1777.0,289.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,1982.0,596.0,1831.0,637.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,526.0,1318.0,679.0,1059.0
25,476.0,965.0,578.0,809.0
26,0.0,0.0,0.0,0.0
27,543.0,723.0,543.0,666.0
28,0.0,0.0,0.0,0.0
29,483.0,899.0,523.0,874.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,889.0,1304.0,988.0,1340.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,534.0,215.0,493.0,198.0
42,0.0,0.0,0.0,0.0
43,351.0,324.0,339.0,271.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,924.0,1731.0,1054.0,1800.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,941.0,432.0,834.0,423.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,753.0,683.0,741.0,671.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,667.0,1147.0,716.0,1183.0
57,0.0,0.0,0.0,0.0
58,1145.0,995.0,1047.0,1061.0
59,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,559.0,1195.0,602.0,1314.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,2098.0,2045.0,2445.0,2240.0
69,0.0,0.0,0.0,0.0
70,950.0,1459.0,954.0,1464.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,1280.0,880.0,1142.0,1037.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,365.0,1358.0,327.0,1448.0
79,627.0,1951.0,577.0,2043.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,832.0,1437.0,995.0,1485.0
85,568.0,1125.0,665.0,1201.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,262.0,238.0,310.0,214.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,881.0,1380.0,1036.0,1160.0
93,1380.0,2088.0,1782.0,2045.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,429.0,1936.0,403.0,2004.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,488.0,1661.0,411.0,1865.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,425.0,1593.0,450.0,1670.0
105,643.0,1117.0,638.0,1204.0
106,0.0,0.0,0.0,0.0
107,283.0,685.0,276.0,723.0
108,479.0,763.0,550.0,853.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,1078.0,1666.0,1085.0,1771.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,282.0,808.0,240.0,924.0
116,105.0,509.0,240.0,1207.0
117,0.0,0.0,0.0,0.0
118,193.0,579.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,463.0,1161.0,361.0,1328.0
121,696.0,1162.0,560.0,1339.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,389.0,591.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,199.0,403.0,0.0,0.0
127,325.0,936.0,368.0,1528.0
128,0.0,0.0,0.0,0.0
129,313.0,767.0,264.0,892.0
130,223.0,690.0,626.0,2049.0
131,168.0,459.0,0.0,0.0
132,252.0,893.0,206.0,1026.0
133,548.0,1699.0,483.0,1931.0
134,455.0,1596.0,419.0,1669.0
135,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0
138,216.22935196950445,715.7447438554931,176.0,755.0
139,0.0,0.0,0.0,0.0
140,225.2808132147395,574.2019543973942,177.0,653.0
141,716.0711562897078,1129.3307669529167,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
144,0.0,0.0,688.0,1663.0
145,145.82909783989834,248.9546935149541,0.0,0.0
146,123.70330368487929,282.08172934557297,265.0,743.0
147,155.88627700127063,439.68611193366894,0.0,0.0
148,1142.0,518.0,798.4025906735751,526.995372318048
149,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
151,412.0,336.0,634.4720207253886,475.81236853176273
152,281.0,596.0,373.39740932642485,835.9890618426589
153,0.0,0.0,0.0,0.0
154,257.0,581.0,336.9683937823834,817.0323937736644
155,384.0,302.0,391.6119170984456,382.9246949936895
156,1314.0,399.0,971.4404145077721,250.22801851072782
157,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0
159,842.0,305.0,455.3626943005181,193.35801430374423
160,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0
162,973.0,626.0,537.3279792746114,350.69835927639883
163,0.0,0.0,0.0,0.0
164,625.0,352.0,585.9,498.56037021455614
165,789.0,151.0,774.1165803108809,174.4013462347497
166,0.0,0.0,0.0,0.0
167,76.37109375,88.5628715134888,75.23885350318471,95.81199913363656
168,178.869140625,535.145861911294,128.18471337579618,601.3731860515486
169,283.376953125,591.6753543667123,250.79617834394904,711.4550573965779
170,241.171875,376.86328303612254,197.85031847133757,517.7925059562485
171,176.859375,442.81435756744395,200.63694267515925,532.0623781676413
172,0.0,0.0,0.0,0.0
173,572.783203125,1057.1015089163238,490.44585987261144,1198.6692657569852
174,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0
180,633.076171875,1025.0681298582533,579.6178343949044,1204.7849252761534
181,88.4296875,329.7553726566072,66.87898089171975,379.17089018843404
182,94.458984375,243.07681755829904,122.61146496815286,258.8962529781243
183,739.59375,1473.535436671239,507.16560509554137,1404.5631362356507
184,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
186,118.576171875,278.8788294467307,111.46496815286625,332.2841672081438
187,532.587890625,789.5285779606768,362.2611464968153,988.6982889322071
188,379.845703125,1009.9935985368083,406.8471337579617,1186.4379467186484
189,0.0,0.0,0.0,0.0
190,537.0659163987139,1166.1883537023723,549.9069767441861,1229.1545384417589
191,0.0,0.0,0.0,0.0
192,225.41639871382637,429.7210639827462,219.1358629130967,451.82360503985603
193,237.51929260450163,529.2063263838965,217.06854345165237,636.4397017228079
194,0.0,0.0,0.0,0.0
195,43.872990353697745,219.69662113587347,47.54834761321909,234.81871946515815
196,0.0,0.0,0.0,0.0
197,89.2588424437299,298.45578720345077,62.01958384332925,302.83517613782465
198,134.64469453376205,551.314162473041,97.16401468788249,578.1398817176653
199,118.0032154340836,331.6175413371675,78.55813953488372,458.30136281820523
200,66.56591639871382,353.725377426312,31.009791921664625,387.04602725636414
201,55.97588424437299,455.9741193386053,37.211750305997555,492.30959115453845
202,136.15755627009645,431.10280373831773,113.70257037943696,453.4430444844433
203,125.56752411575562,458.7375988497484,148.84700122399022,490.6901517099511
204,111.95176848874598,540.2602444284687,86.82741738066096,582.998200051427
205,457.78608483368936,704.3281075027995,418.76796149879686,702.1642290748898
206,0.0,0.0,0.0,0.0
207,570.0732377174245,556.7545992641177,638.6964592643519,574.0320704845815
208,161.23283490997864,695.384258518637,75.31797868683397,714.9774449339207
209,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0
211,587.3481843149222,1296.8581027035675,560.3657614300447,1501.7088986784142
212,443.39029600244123,1129.1609342505199,391.6534891715366,1183.9411453744492
213,0.0,0.0,0.0,0.0
214,590.2273420811719,252.6637338025916,569.4039188724648,189.6355947136564
215,0.0,0.0,0.0,0.0
216,642.052181873665,286.2031674932011,686.8999656239257,299.8292511013216
217,711.1519682636558,111.79811230203168,777.2815400481265,102.5057268722467
218,535.523344522429,552.2826747720364,485.0477827432107,586.8452863436123
219,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
221,449.14861153494047,793.7665973444249,445.882433826057,868.7360352422908
222,296.5532499237107,588.0580707086866,298.25919559986244,638.0981497797356
223,0.0,0.0,0.0,0.0
224,230.33262129996947,999.4751239801632,174.7377105534548,1009.68140969163
225,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0
227,230.33262129996947,800.4744840825467,216.91577861808182,868.7360352422908
228,287.91577662496184,950.2839545672692,334.4118253695428,1042.9957709251103
229,454.9069270674397,1229.7792353223485,364.5390168442764,1486.3330396475772
230,578.7107110161733,447.19244920812673,460.94602956342385,402.3349779735683
231,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0
233,463.5444003661886,373.4056950887858,421.7806806462702,384.3964757709251
234,348.3780897162038,489.67573188289873,280.18288071502235,458.713127753304
235,567.1940799511749,442.7205247160455,391.6534891715366,463.83841409691627
236,0.0,0.0,0.0,0.0
237,829.1974366798902,1276.7344424892017,771.2561017531798,1063.4969162995594
238,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
241,308.68638538495,385.42466624284805,273.77707581227435,391.4638069705094
242,497.97520661157023,167.95041322314052,406.75451263537906,120.45040214477213
243,0.0,0.0,0.0,0.0
244,448.4688995215311,419.87603305785126,351.9990974729242,423.89276139410185
245,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0
247,1051.280991735537,622.2778130959949,860.442238267148,627.7319034852547
248,465.94171378860375,79.66878575969486,378.0731046931408,83.3887399463807
249,1112.4358416702914,239.00635727908454,954.3086642599278,243.2171581769437
250,0.0,0.0,0.0,0.0
251,1121.1722488038276,105.50731087094722,1029.9232851985557,127.3994638069705
252,0.0,0.0,0.0,0.0
253,61.15484993475424,609.3585505403687,23.466606498194942,627.7319034852546
254,1298.812527185733,490.93197711379526,1220.2635379061371,544.343163538874
255,0.0,0.0,0.0,0.0
256,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0
258,329.0713353632014,266.9980928162746,278.9918772563177,266.38069705093835
259,0.0,0.0,0.0,0.0
260,476.74959216965743,382.8115059221658,353.2182146077547,514.2412720359489
261,226.86704730831974,346.1035532994924,162.28944995491435,446.26685101970276
262,0.0,0.0,0.0,0.0
263,364.9600326264274,713.1830795262267,295.9395852119026,732.9415831316971
264,226.86704730831974,432.6294416243655,190.92876465284039,428.5343933632907
265,243.30668841761826,222.86971235194585,235.47880973850314,239.38817836156238
266,660.873572593801,749.8910321489002,566.4220018034265,939.8202557898376
267,0.0,0.0,0.0,0.0
268,611.5546492659054,873.1248730964467,502.77908025247973,1060.9920497753196
269,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
271,766.0872756933117,553.2412859560068,684.1614066726781,552.6615969581749
272,0.0,0.0,0.0,0.0
273,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
276,960.0750407830342,437.873434856176,868.7258791704238,469.9101278949188
277,529.3564437194127,309.39560067681896,477.321911632101,277.80850328378847
278,555.6598694942904,815.4409475465313,521.8719567177637,795.0051849291393
279,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0
282,263.0342577487765,584.7052453468697,190.92876465284039,546.750777739371
283,0.0,0.0,0.0,0.0
284,430.71859706362153,136.34382402707274,455.04688908926965,200.96785343933635
285,0.0,0.0,0.0,0.0
286,723.3442088091354,254.3336717428088,645.9756537421099,363.5153819564466
287,0.0,0.0,0.0,0.0
288,627.994290375204,563.7292724196277,534.6005410279531,564.4832353957829
289,0.0,0.0,0.0,0.0
290,394.5513866231648,372.32351945854487,372.3110910730388,416.71275492568265
291,0.0,0.0,0.0,0.0
